"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"394",14,"Jordan Whittington",LAR,"WR136","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"395",14,"Marcus Mariota",WAS,"QB42","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","0"
"396",14,"Zavion Thomas",CHI,"WR137","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-97"
"397",14,"Kevin Coleman Jr.",MIA,"WR138","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-44"
"398",14,"Savion Williams",GB,"WR139","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-82"
"399",14,"John Bates",WAS,"TE55","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"400",14,"Darren Waller",FA,"TE56","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-38"
"401",14,"Joey Slye",TEN,"K26","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"402",14,"Chad Ryland",ARI,"K27","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"403",14,"Greg Dortch",DET,"WR140","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-80"
"404",14,"Tommy Myers",FA,"TE57","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"405",14,"Brandon McManus",FA,"K28","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"406",14,"Austin Hooper",ATL,"TE58","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"407",15,"Raheem Mostert",LV,"RB110","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"408",15,"Antonio Gibson",FA,"RB111","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"409",15,"Jameis Winston",NYG,"QB43","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-16"
"410",15,"Daniel Carlson",LV,"K29","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"411",15,"DeAndre Hopkins",BAL,"WR141","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"412",15,"Kyle Juszczyk",SF,"RB112","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"413",15,"Joe Milton III",DAL,"QB44","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-69"
"414",15,"Zach Ertz",FA,"TE59","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-35"
"415",15,"Deion Burks",IND,"WR142","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"416",15,"Terrell Jennings",NE,"RB113","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"417",15,"Tyler Lockett",LV,"WR143","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"418",15,"Ashton Dulin",IND,"WR144","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-124"
"419",15,"CJ Daniels",LAR,"WR145","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"420",15,"Joe Flacco",CIN,"QB45","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-19"
"421",15,"Phil Mafah",DAL,"RB114","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-53"
"422",15,"Khalil Herbert",FA,"RB115","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"423",15,"Jonnu Smith",FA,"TE60","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-36"
"424",15,"Damien Martinez",GB,"RB116","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-95"
"425",15,"Marlin Klein",HOU,"TE61","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"426",15,"Josh Oliver",MIN,"TE62","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"427",15,"Xavier Smith",LAR,"WR146","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","1 out of 5 stars","-"
"428",15,"Dyami Brown",WAS,"WR147","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"429",15,"Demarcus Robinson",SF,"WR148","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"430",15,"Jam Miller",NE,"RB117","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-78"
